央卫频道,#genre#
广西卫视,http://111.192.211.132:8888/rtp/239.3.1.39:8300$北京联通
贵州卫视,http://111.192.211.132:8888/rtp/239.3.1.149:8076$北京联通
海南卫视,http://111.192.211.132:8888/rtp/239.3.1.45:8304$北京联通
河北卫视,http://111.192.211.132:8888/rtp/239.3.1.148:8072$北京联通
河南卫视,http://111.192.211.132:8888/rtp/239.3.1.27:8128$北京联通
黑龙江卫视,http://111.192.211.132:8888/rtp/239.3.1.133:8016$北京联通
湖北卫视,http://111.192.211.132:8888/rtp/239.3.1.138:8044$北京联通
湖南卫视,http://111.192.211.132:8888/rtp/239.3.1.132:8012$北京联通
吉林卫视,http://111.192.211.132:8888/rtp/239.3.1.240:8172$北京联通
江苏卫视,http://111.192.211.132:8888/rtp/239.3.1.135:8028$北京联通
江西卫视,http://111.192.211.132:8888/rtp/239.3.1.123:8164$北京联通
辽宁卫视,http://111.192.211.132:8888/rtp/239.3.1.210:8056$北京联通
南方卫视,http://111.192.211.132:8888/rtp/239.3.1.161:8001$北京联通
内蒙古卫视,http://111.192.211.132:8888/rtp/239.3.1.43:8176$北京联通
宁夏卫视,http://111.192.211.132:8888/rtp/239.3.1.46:8124$北京联通
青海卫视,http://111.192.211.132:8888/rtp/239.3.1.44:8184$北京联通
三沙卫视,http://111.192.211.132:8888/rtp/239.3.1.155:4120$北京联通
厦门卫视,http://111.192.211.132:8888/rtp/239.3.1.143:4120$北京联通
山东卫视,http://111.192.211.132:8888/rtp/239.3.1.209:8052$北京联通
山西卫视,http://111.192.211.132:8888/rtp/239.3.1.42:8172$北京联通
陕西卫视,http://111.192.211.132:8888/rtp/239.3.1.41:8140$北京联通
深圳卫视,http://111.192.211.132:8888/rtp/239.3.1.134:8020$北京联通
四川卫视,http://111.192.211.132:8888/rtp/239.3.1.29:8288$北京联通
天津卫视,http://111.192.211.132:8888/rtp/239.3.1.141:1234$北京联通
西藏卫视,http://111.192.211.132:8888/rtp/239.3.1.47:8164$北京联通
新疆卫视,http://111.192.211.132:8888/rtp/239.3.1.48:8160$北京联通
云南卫视,http://111.192.211.132:8888/rtp/239.3.1.26:8108$北京联通
浙江卫视,http://111.192.211.132:8888/rtp/239.3.1.137:8036$北京联通
重庆卫视,http://111.192.211.132:8888/rtp/239.3.1.122:8160$北京联通
CCTV1,http://183.220.20.17:4321/udp/239.11.0.65:5140$IPTV$四川移动
CCTV2,http://183.220.20.17:4321/udp/239.11.0.108:5140$IPTV$四川移动
CCTV3,http://183.220.20.17:4321/udp/239.11.0.101:5140$IPTV$四川移动
CCTV4,http://183.220.20.17:4321/udp/239.11.0.109:5140$IPTV$四川移动
CCTV5,http://183.220.20.17:4321/udp/239.11.0.100:5140$IPTV$四川移动
CCTV6,http://183.220.20.17:4321/udp/239.11.0.102:5140$IPTV$四川移动
CCTV7,http://183.220.20.17:4321/udp/239.11.0.110:5140$IPTV$四川移动
CCTV8,http://183.220.20.17:4321/udp/239.11.0.103:5140$IPTV$四川移动
CCTV9,http://183.220.20.17:4321/udp/239.11.0.111:5140$IPTV$四川移动
CCTV10,http://183.220.20.17:4321/udp/239.11.0.112:5140$IPTV$四川移动
