
4K频道,#genre#
重庆卫视,https://zby.130519.xyz/PLTV/11/224/3221226171/index.m3u8
贵州卫视,https://zby.130519.xyz/PLTV/11/224/3221226173/index.m3u8
东方财经,https://zby.130519.xyz/PLTV/11/224/3221226134/index.m3u8
新闻综合,https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8
第一财经,https://zby.130519.xyz/PLTV/11/224/3221225737/index.m3u8
五星体育,https://zby.130519.xyz/PLTV/11/224/3221225732/index.m3u8
东方影视,https://zby.130519.xyz/PLTV/11/224/3221225744/index.m3u8
上海都市,https://zby.130519.xyz/PLTV/11/224/3221225749/index.m3u8
金色学堂,https://zby.130519.xyz/PLTV/11/224/3221225748/index.m3u8
都市剧场,https://zby.130519.xyz/PLTV/11/224/3221225762/index.m3u8
都市剧场,https://zby.130519.xyz/PLTV/11/224/3221226155/index.m3u8
动漫秀场,https://zby.130519.xyz/PLTV/11/224/3221225764/index.m3u8
动漫秀场,https://zby.130519.xyz/PLTV/11/224/3221226138/index.m3u8
生活时尚,https://zby.130519.xyz/PLTV/11/224/3221225768/index.m3u8
欢笑剧场,https://zby.130519.xyz/PLTV/11/224/3221225771/index.m3u8
法治天地,https://zby.130519.xyz/PLTV/11/224/3221225994/index.m3u8
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8
游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226140/index.m3u8
金鹰卡通,https://zby.130519.xyz/PLTV/11/224/3221226094/index.m3u8
哈哈炫动,https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8
哈哈炫动,https://zby.130519.xyz/PLTV/11/224/3221226175/index.m3u8
卡酷少儿,https://zby.130519.xyz/PLTV/11/224/3221226019/index.m3u8
嘉佳卡通,https://zby.130519.xyz/PLTV/11/224/3221226021/index.m3u8
乐游,https://zby.130519.xyz/PLTV/11/224/3221226157/index.m3u8
乐游,https://zby.130519.xyz/PLTV/11/224/3221226115/index.m3u8
睛彩竞技,https://zby.130519.xyz/PLTV/11/224/3221226116/index.m3u8
睛彩篮球,https://zby.130519.xyz/PLTV/11/224/3221226118/index.m3u8
睛彩广场舞,https://zby.130519.xyz/PLTV/11/224/3221226139/index.m3u8
安徽卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227539/1.m3u8?HlsProfileId=
贵州卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227547/1.m3u8?HlsProfileId=
河北卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227551/1.m3u8?HlsProfileId=
四川卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227555/1.m3u8?HlsProfileId=
贵州卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227573/1.m3u8?HlsProfileId=
安徽卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227572/1.m3u8?HlsProfileId=
东方卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227575/1.m3u8?HlsProfileId=
东南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227576/1.m3u8?HlsProfileId=
东南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227578/1.m3u8?HlsProfileId=
湖北卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227579/1.m3u8?HlsProfileId=
河北卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227577/1.m3u8?HlsProfileId=
海南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227580/1.m3u8?HlsProfileId=
海南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227582/1.m3u8?HlsProfileId=
江西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227581/1.m3u8?HlsProfileId=
河南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227586/1.m3u8?HlsProfileId=
河南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227584/1.m3u8?HlsProfileId=
江西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227588/1.m3u8?HlsProfileId=
内蒙古卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227587/1.m3u8?HlsProfileId=
山东教育,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227591/1.m3u8?HlsProfileId=
四川卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227592/1.m3u8?HlsProfileId=
深圳卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227595/1.m3u8?HlsProfileId=
兵团卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227605/1.m3u8?HlsProfileId=
北京卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227610/1.m3u8?HlsProfileId=
甘肃卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227612/1.m3u8?HlsProfileId=
广西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227614/1.m3u8?HlsProfileId=
江苏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227613/1.m3u8?HlsProfileId=
湖南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227616/1.m3u8?HlsProfileId=
辽宁卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227617/1.m3u8?HlsProfileId=
吉林卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227618/1.m3u8?HlsProfileId=
宁夏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227624/1.m3u8?HlsProfileId=
青海卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227626/1.m3u8?HlsProfileId=
陕西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227625/1.m3u8?HlsProfileId=
新疆卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227629/1.m3u8?HlsProfileId=
天津卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227632/1.m3u8?HlsProfileId=
山东卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227628/1.m3u8?HlsProfileId=
西藏卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227634/1.m3u8?HlsProfileId=
山西卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227630/1.m3u8?HlsProfileId=
浙江卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227638/1.m3u8?HlsProfileId=
重庆卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227642/1.m3u8?HlsProfileId=
云南卫视,http://120.196.232.124:8088/000000001001PLTV/651/224/3221227641/1.m3u8?HlsProfileId=

CCTV1综合,https://live.chinacert.cftest5.cn/mg/?id=608807420
CCTV2财经,https://live.chinacert.cftest5.cn/mg/?id=631780532
CCTV3综艺,https://live.chinacert.cftest5.cn/mg/?id=624878271
CCTV4中文国际,https://live.chinacert.cftest5.cn/mg/?id=631780421
CCTV5体育,https://live.chinacert.cftest5.cn/mg/?id=641886683
CCTV5+体育赛事,https://live.chinacert.cftest5.cn/mg/?id=641886773
CCTV6电影,https://live.chinacert.cftest5.cn/mg/?id=624878396
CCTV7国防军事,https://live.chinacert.cftest5.cn/mg/?id=673168121
CCTV8电视剧,https://live.chinacert.cftest5.cn/mg/?id=624878356
CCTV9纪录,https://live.chinacert.cftest5.cn/mg/?id=673168140
CCTV10科教,https://live.chinacert.cftest5.cn/mg/?id=624878405
CCTV11戏曲,https://live.chinacert.cftest5.cn/mg/?id=667987558
CCTV12社会与法,https://live.chinacert.cftest5.cn/mg/?id=673168185
CCTV13新闻,https://live.chinacert.cftest5.cn/mg/?id=608807423
CCTV14少儿,https://live.chinacert.cftest5.cn/mg/?id=624878440
CCTV15音乐,https://live.chinacert.cftest5.cn/mg/?id=673168223
CCTV17农业农村,https://live.chinacert.cftest5.cn/mg/?id=673168256
CCTV4欧洲,https://live.chinacert.cftest5.cn/mg/?id=608807419
CCTV4美洲,https://live.chinacert.cftest5.cn/mg/?id=608807416
CGTN外语纪录,https://live.chinacert.cftest5.cn/mg/?id=609006487
CGTN阿拉伯语,https://live.chinacert.cftest5.cn/mg/?id=609154345
CGTN西班牙语,https://live.chinacert.cftest5.cn/mg/?id=609006450
CGTN法语,https://live.chinacert.cftest5.cn/mg/?id=609006476
CGTN俄语,https://live.chinacert.cftest5.cn/mg/?id=609006446
老故事,https://live.chinacert.cftest5.cn/mg/?id=884121956
中学生,https://live.chinacert.cftest5.cn/mg/?id=708869532
CGTN,https://live.chinacert.cftest5.cn/mg/?id=609017205
东方卫视,https://live.chinacert.cftest5.cn/mg/?id=651632648
江苏卫视,https://live.chinacert.cftest5.cn/mg/?id=623899368
广东卫视,https://live.chinacert.cftest5.cn/mg/?id=608831231
江西卫视,https://live.chinacert.cftest5.cn/mg/?id=783847495
河南卫视,https://live.chinacert.cftest5.cn/mg/?id=790187291
陕西卫视,https://live.chinacert.cftest5.cn/mg/?id=738910838
大湾区卫视,https://live.chinacert.cftest5.cn/mg/?id=608917627
湖北卫视,https://live.chinacert.cftest5.cn/mg/?id=947472496
吉林卫视,https://live.chinacert.cftest5.cn/mg/?id=947472500
青海卫视,https://live.chinacert.cftest5.cn/mg/?id=947472506
东南卫视,https://live.chinacert.cftest5.cn/mg/?id=849116810
